,,,accuracy,accuracy,accuracy,f1,f1,f1
,,,mean,std,max,mean,std,max
learning_rate,optimizer,unfreeze_layers,,,,,,
0.0001,Adam,all,0.9620445344129555,,0.9620445344129555,0.9621604227716792,,0.9621604227716792
0.0001,Adam,last_block,0.9711538461538461,,0.9711538461538461,0.9710826133160394,,0.9710826133160394
0.0001,Adam,none,0.930668016194332,,0.930668016194332,0.9305061143803042,,0.9305061143803042
0.0001,SGD,all,0.9516700404858299,,0.9516700404858299,0.9516647600113434,,0.9516647600113434
0.0001,SGD,last_block,0.9230769230769231,,0.9230769230769231,0.9227199631992439,,0.9227199631992439
0.0005,Adam,none,0.9406207827260459,0.007942818736163001,0.9468623481781376,0.9404301405629881,0.008068479571729188,0.9467709187602381
0.0005,SGD,all,0.9688765182186235,,0.9688765182186235,0.9689071064724583,,0.9689071064724583
0.0005,SGD,none,0.923836032388664,,0.923836032388664,0.9233743139485346,,0.9233743139485346
0.001,Adam,all,0.9473684210526316,0.0035784756132921803,0.9498987854251012,0.9474917664416459,0.0035455574437812227,0.94999885415323
0.001,Adam,none,0.9412955465587044,,0.9412955465587044,0.9412073246736455,,0.9412073246736455
0.001,SGD,all,0.9691295546558705,,0.9691295546558705,0.9691306156426511,,0.9691306156426511
0.001,SGD,last_block,0.9628036437246964,,0.9628036437246964,0.9628668105808426,,0.9628668105808426
