,,,accuracy,accuracy,accuracy,f1,f1,f1
,,,mean,std,max,mean,std,max
learning_rate,optimizer,unfreeze_layers,,,,,,
0.0001,Adam,all,0.88,,0.88,0.8789103025328612,,0.8789103025328612
0.0001,Adam,last_block,0.8796666666666667,,0.8796666666666667,0.878642606107263,,0.878642606107263
0.0001,Adam,none,0.787,,0.787,0.786067660495488,,0.786067660495488
0.0001,SGD,all,0.8433333333333334,,0.8433333333333334,0.842051132604346,,0.842051132604346
0.0001,SGD,last_block,0.744,,0.744,0.7393645818703056,,0.7393645818703056
0.0005,Adam,none,0.8405555555555555,0.015261910952627349,0.8506666666666667,0.8390519453386953,0.01596235471892533,0.8493732365553117
0.0005,SGD,all,0.8733333333333333,,0.8733333333333333,0.8728872495072959,,0.8728872495072959
0.0005,SGD,none,0.7783333333333333,,0.7783333333333333,0.7766425005363449,,0.7766425005363449
0.001,Adam,all,0.8535,0.008720983634634067,0.8596666666666667,0.8526495496320574,0.0085386404596337,0.8586872802031782
0.001,Adam,none,0.8326666666666667,,0.8326666666666667,0.8302426398009893,,0.8302426398009893
0.001,SGD,all,0.889,,0.889,0.8883395799320912,,0.8883395799320912
0.001,SGD,last_block,0.8676666666666667,,0.8676666666666667,0.8676822375275186,,0.8676822375275186
