trial,accuracy,f1,learning_rate,batch_size,optimizer,dropout_rate,unfreeze_layers,model_path
1,0.7920792079207921,0.7890948352009305,0.0001,16,Adam,0.5,none,resnet50_results/trial_1/model_trial_1.pth
2,0.9148514851485149,0.9149785203730084,0.001,16,Adam,0.2,all,resnet50_results/trial_2/model_trial_2.pth
3,0.8752475247524752,0.8747794821017109,0.0005,16,Adam,0.2,none,resnet50_results/trial_3/model_trial_3.pth
4,0.9405940594059405,0.9405533377477829,0.001,64,Adam,0.2,all,resnet50_results/trial_4/model_trial_4.pth
5,0.6831683168316832,0.662354445967676,0.0001,64,SGD,0.2,last_block,resnet50_results/trial_5/model_trial_5.pth
6,0.9247524752475248,0.9249589029973186,0.0001,32,Adam,0.2,all,resnet50_results/trial_6/model_trial_6.pth
7,0.7920792079207921,0.7788794359899845,0.0005,32,SGD,0.2,none,resnet50_results/trial_7/model_trial_7.pth
8,0.8752475247524752,0.872233190954122,0.0005,16,Adam,0.5,none,resnet50_results/trial_8/model_trial_8.pth
9,0.9287128712871288,0.9277411631791744,0.0005,32,SGD,0.2,all,resnet50_results/trial_9/model_trial_9.pth
10,0.8574257425742574,0.8537266165566526,0.0005,64,Adam,0.5,none,resnet50_results/trial_10/model_trial_10.pth
11,0.7841584158415842,0.7688837851408615,0.0001,32,SGD,0.2,all,resnet50_results/trial_11/model_trial_11.pth
12,0.8495049504950495,0.848722044051013,0.001,16,Adam,0.5,none,resnet50_results/trial_12/model_trial_12.pth
13,0.9128712871287129,0.9137403321144821,0.001,16,SGD,0.5,last_block,resnet50_results/trial_13/model_trial_13.pth
14,0.9306930693069307,0.9296590866869004,0.0001,32,Adam,0.5,last_block,resnet50_results/trial_14/model_trial_14.pth
15,0.904950495049505,0.9043144263831234,0.001,64,SGD,0.2,all,resnet50_results/trial_15/model_trial_15.pth
16,0.9128712871287129,0.9133871673807863,0.0001,16,Adam,0.2,last_block,resnet50_results/trial_16/model_trial_16.pth
17,0.8633663366336634,0.8623949152185901,0.0005,32,Adam,0.5,none,resnet50_results/trial_17/model_trial_17.pth
18,0.9148514851485149,0.914642700547366,0.001,16,SGD,0.5,last_block,resnet50_results/trial_18/model_trial_18.pth
19,0.9128712871287129,0.9121004431269828,0.001,16,SGD,0.2,all,resnet50_results/trial_19/model_trial_19.pth
20,0.8811881188118812,0.8793862069267183,0.0005,32,SGD,0.2,last_block,resnet50_results/trial_20/model_trial_20.pth
21,0.9346534653465347,0.9341717570050778,0.001,16,SGD,0.5,all,resnet50_results/trial_21/model_trial_21.pth
22,0.9584158415841584,0.9584619760630919,0.0005,32,Adam,0.2,all,resnet50_results/trial_22/model_trial_22.pth
23,0.8653465346534653,0.8641381119080881,0.0005,16,Adam,0.2,none,resnet50_results/trial_23/model_trial_23.pth
24,0.8198019801980198,0.8018651975081947,0.0001,16,SGD,0.2,last_block,resnet50_results/trial_24/model_trial_24.pth
25,0.8851485148514852,0.8811818456752704,0.0005,64,SGD,0.5,all,resnet50_results/trial_25/model_trial_25.pth
